Year,Races
2024,36
2023,36
2022,36
2021,36
2020,36
2019,36
2018,36
2017,36
2016,36
2015,36
2014,36
2013,36
2012,36
2011,36
2010,36
2009,36
2008,36
2007,36
2006,36
2005,36
2004,36
2003,36
2002,36
2001,36
2000,34
1999,34
1998,33
1997,32
1996,31
1995,31
1994,31
1993,30
1992,29
1991,29
1990,29
1989,29
1988,29
1987,29
1986,29
1985,28
1984,30
1983,30
1982,30
1981,31
1980,31
1979,31
1978,30
1977,30
1976,30
1975,30
1974,30
1973,28
1972,31
1971,48
1970,48
1969,54
1968,49
1967,49
1966,49
1965,55
1964,62
1963,55
1962,53
1961,52
1960,44
1959,44
1958,51
1957,53
1956,56
1955,45
1954,37
1953,37
1952,34
1951,41
1950,19
1949,8
